"coverage_type","source_object","repo_mapping","module","condition","reason","impact","alternative","property","term","source_section","remarks"
"toggle","wk_lsu_ld_ag | 1）wk_lsu_ld_ag.sv，以下信号相应位tie固定值；998-ag_vmask_reg_cnt[0] tie0；930-lsu_idu_ex1_vreg[6] tie0；617-ld_ag_access_size_ori[3] tie0；873-ld_ag_mmu_stall_req tie0；956-mmu_lsu_stall tie0；595-lsu_lrq_ex1_pa_set tie0；338-ld_ag_dtu_type[1] tie 1；432-sfp_hit_no_spec_tbl tie0；ld_ag_bytes_vld_high_bits[15] tie1；ld_ag_le_bytes_vld_high_bits[15] tie1；ld_ag_le_bytes_vld_high_bits_full[15] tie1；ld_ag_le_bytes_vld_low_bits_full[0] tie1","srcs/xx_lsu_ld_ag.sv","wk_lsu_ld_ag","1）wk_lsu_ld_ag.sv，以下信号相应位tie固定值；998-ag_vmask_reg_cnt[0] tie0；930-lsu_idu_ex1_vreg[6] tie0；617-ld_ag_access_size_ori[3] tie0；873-ld_ag_mmu_stall_req tie0；956-mmu_lsu_stall tie0；595-lsu_lrq_ex1_pa_set tie0；338-ld_ag_dtu_type[1] tie 1；432-sfp_hit_no_spec_tbl tie0；ld_ag_bytes_vld_high_bits[15] tie1；ld_ag_le_bytes_vld_high_bits[15] tie1；ld_ag_le_bytes_vld_high_bits_full[15] tie1；ld_ag_le_bytes_vld_low_bits_full[0] tie1","1）wk_lsu_ld_ag.sv，以下信号相应位tie固定值；998-ag_vmask_reg_cnt[0] tie0；930-lsu_idu_ex1_vreg[6] tie0；617-ld_ag_access_size_ori[3] tie0；873-ld_ag_mmu_stall_req tie0；956-mmu_lsu_stall tie0；595-lsu_lrq_ex1_pa_set tie0；338-ld_ag_dtu_type[1] tie 1；432-sfp_hit_no_spec_tbl tie0；ld_ag_bytes_vld_high_bits[15] tie1；ld_ag_le_bytes_vld_high_bits[15] tie1；ld_ag_le_bytes_vld_high_bits_full[15] tie1；ld_ag_le_bytes_vld_low_bits_full[0] tie1","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.2.4","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"toggle","wk_lsu_ld_ag | 2）inst_type[1:0]，对于加载指令，该信号高位为0，涉及以下信号：；762-idu_lsu_rf_inst_type；630-lag_ldc_ex1_inst_type；575-lsu_lrq_create_type","srcs/xx_lsu_ld_ag.sv","wk_lsu_ld_ag","2）inst_type[1:0]，对于加载指令，该信号高位为0，涉及以下信号：；762-idu_lsu_rf_inst_type；630-lag_ldc_ex1_inst_type；575-lsu_lrq_create_type","DOCX仅列示该排除项，未另述原因","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.2.4","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"toggle","wk_lsu_ld_ag | 3）未使用信号；614-active_with_vld；615-active_with_vstart；734-all_active_for_vl；735-all_active_for_vstart；736-all_inactive_for_vl；737-all_inactive_for_vstart；753-element_active；754-element_active_aft_mask；755-element_vld_aft_mask；1012-lag_us_misalign_no_page；1013-lag_us_misalign_with_page；1004-lag_us_tag_req；906-ld_ag_struwk_stall4abort；907-ld_ag_tcm_hit；908-ld_ag_tcm_stall","srcs/xx_lsu_ld_ag.sv","wk_lsu_ld_ag","3）未使用信号；614-active_with_vld；615-active_with_vstart；734-all_active_for_vl；735-all_active_for_vstart；736-all_inactive_for_vl；737-all_inactive_for_vstart；753-element_active；754-element_active_aft_mask；755-element_vld_aft_mask；1012-lag_us_misalign_no_page；1013-lag_us_misalign_with_page；1004-lag_us_tag_req；906-ld_ag_struwk_stall4abort；907-ld_ag_tcm_hit；908-ld_ag_tcm_stall","3）未使用信号；614-active_with_vld；615-active_with_vstart；734-all_active_for_vl；735-all_active_for_vstart；736-all_inactive_for_vl；737-all_inactive_for_vstart；753-element_active；754-element_active_aft_mask；755-element_vld_aft_mask；1012-lag_us_misalign_no_page；1013-lag_us_misalign_with_page；1004-lag_us_tag_req；906-ld_ag_struwk_stall4abort；907-ld_ag_tcm_hit；908-ld_ag_tcm_stall","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.2.4","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"line","wk_lsu_ld_dc | 1）case语句default分支","srcs/xx_lsu_ld_dc.sv","wk_lsu_ld_dc","1）case语句default分支","DOCX仅列示该排除项，未另述原因","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.3.1","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"line","wk_lsu_ld_dc | 2）mmu_bytes_vld-1801","srcs/xx_lsu_ld_dc.sv","wk_lsu_ld_dc","2）mmu_bytes_vld-1801","排除原因：mmu_lsu_data_req_size信号tie 1","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.3.1","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"branch","wk_lsu_ld_dc | case语句default分支","srcs/xx_lsu_ld_dc.sv","wk_lsu_ld_dc","case语句default分支","其他同1.3.1","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.3.2","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_dc | 1）2176，ld_dc_da_cb_merge_en，cachebuffer未使用，同理排除1623、2169、1584、2160","srcs/xx_lsu_ld_dc.sv","wk_lsu_ld_dc","1）2176，ld_dc_da_cb_merge_en，cachebuffer未使用，同理排除1623、2169、1584、2160","1）2176，ld_dc_da_cb_merge_en，cachebuffer未使用，同理排除1623、2169、1584、2160","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.3.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_dc | 2）2144，ldc_lda_ex2_pfu_info_set_vld，信号pfu_sdb_empty, pfu_pfb_empty信号tie 0","srcs/xx_lsu_ld_dc.sv","wk_lsu_ld_dc","2）2144，ldc_lda_ex2_pfu_info_set_vld，信号pfu_sdb_empty, pfu_pfb_empty信号tie 0","2）2144，ldc_lda_ex2_pfu_info_set_vld，信号pfu_sdb_empty, pfu_pfb_empty信号tie 0","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.3.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_dc | 3）1760，排除后2个子表达式单独未0的条件","srcs/xx_lsu_ld_dc.sv","wk_lsu_ld_dc","3）1760，排除后2个子表达式单独未0的条件","排除原因： ldc_lq_full_req前提是ldc_lq_ex2_create_dp_vld，后者前提非同栈相关且非页表miss，即ldc_depd_imme_restart_req=0或者ldc_utlb_miss_vld=0是ldc_lq_full_req=0的充分条件。","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.3.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_dc | 4）1756，排除第一个子表达式单独为0","srcs/xx_lsu_ld_dc.sv","wk_lsu_ld_dc","4）1756，排除第一个子表达式单独为0","排除原因：ldc_depd_imme_restart_req、ldc_utlb_miss_vld条件互斥，即ldc_utlb_miss_vld=0是ldc_depd_imme_restart_req的必要条件。","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.3.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_dc | 5）1503","srcs/xx_lsu_ld_dc.sv","wk_lsu_ld_dc","5）1503","排除原因：未覆盖条件满足前序else if分支，满足该条件不会进入该分支。","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.3.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_dc | 6）1513","srcs/xx_lsu_ld_dc.sv","wk_lsu_ld_dc","6）1513","排除原因：同上","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.3.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_dc | 7）wk_lsu_ld_dc.sv - 1502","srcs/xx_lsu_ld_dc.sv","wk_lsu_ld_dc","7）wk_lsu_ld_dc.sv - 1502","排除原因：同上","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.3.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_dc | 8）1590，排除同1，同理排除1602","srcs/xx_lsu_ld_dc.sv","wk_lsu_ld_dc","8）1590，排除同1，同理排除1602","DOCX仅列示该排除项，未另述原因","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.3.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_dc | 9）wk_lsu_ld_dc.sv - 1966","srcs/xx_lsu_ld_dc.sv","wk_lsu_ld_dc","9）wk_lsu_ld_dc.sv - 1966","排除原因：ldc_lda_ex2_borrow_icc是ldc_lda_ex2_borrow_icc_tag必要条件","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.3.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_dc | 10）1748，排除同1","srcs/xx_lsu_ld_dc.sv","wk_lsu_ld_dc","10）1748，排除同1","DOCX仅列示该排除项，未另述原因","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.3.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_dc | 11）wk_lsu_ld_dc.sv - 1572","srcs/xx_lsu_ld_dc.sv","wk_lsu_ld_dc","11）wk_lsu_ld_dc.sv - 1572","排除原因：ldc_ld_inst=0意味着原子操作，等到最老才进入流水线，ldc_old=1。addr1_dep_discard排除同1.","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.3.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_dc | 12）wk_lsu_ld_dc.sv - 2138","srcs/xx_lsu_ld_dc.sv","wk_lsu_ld_dc","12）wk_lsu_ld_dc.sv - 2138","排除原因：排除合取范式子表达式!ldc_utlb_miss单独为0，当一级页表未命中时，页表属性ldc_page_ca=0.","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.3.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_dc | 13）1595，排除同11","srcs/xx_lsu_ld_dc.sv","wk_lsu_ld_dc","13）1595，排除同11","DOCX仅列示该排除项，未另述原因","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.3.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_dc | 14）1835，排除同1","srcs/xx_lsu_ld_dc.sv","wk_lsu_ld_dc","14）1835，排除同1","DOCX仅列示该排除项，未另述原因","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.3.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_dc | 15）wk_lsu_ld_dc.sv - 1544","srcs/xx_lsu_ld_dc.sv","wk_lsu_ld_dc","15）wk_lsu_ld_dc.sv - 1544","排除原因：加载请求要么是原子请求，要么是非原子请求，无其他情况。","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.3.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"toggle","wk_lsu_ld_dc | 1）wk_lsu_ld_dc.sv；643-ldc_lda_ex2_expt_vec，最高位tie 0，表示非外部中断；947-mmu_lsu_mmu_en，信号未使用；611-ldc_lda_ex2_ahead_predict，tie 1，复位值0；950-mmu_rot_sel，低三位tie 0；949-mmu_lsu_imme_wakeup，tie 0；946-mmu_lsu_data_req_size, tie 1；941-lsu_idu_ex2_vload_fwd_inst_vld, tie 0；774-ldg_ldc_ex1_expt_page_fault，信号未使用；699-ldc_vload_ahead_inst_vld，tie 0；662-665-ld_dc_load_inst_vld_dup1-4，信号未使用；658-660-ld_dc_load_ahead_inst_vld_dup2-4，信号未使用","srcs/xx_lsu_ld_dc.sv","wk_lsu_ld_dc","1）wk_lsu_ld_dc.sv；643-ldc_lda_ex2_expt_vec，最高位tie 0，表示非外部中断；947-mmu_lsu_mmu_en，信号未使用；611-ldc_lda_ex2_ahead_predict，tie 1，复位值0；950-mmu_rot_sel，低三位tie 0；949-mmu_lsu_imme_wakeup，tie 0；946-mmu_lsu_data_req_size, tie 1；941-lsu_idu_ex2_vload_fwd_inst_vld, tie 0；774-ldg_ldc_ex1_expt_page_fault，信号未使用；699-ldc_vload_ahead_inst_vld，tie 0；662-665-ld_dc_load_inst_vld_dup1-4，信号未使用；658-660-ld_dc_load_ahead_inst_vld_dup2-4，信号未使用","1）wk_lsu_ld_dc.sv；643-ldc_lda_ex2_expt_vec，最高位tie 0，表示非外部中断；947-mmu_lsu_mmu_en，信号未使用；611-ldc_lda_ex2_ahead_predict，tie 1，复位值0；950-mmu_rot_sel，低三位tie 0；949-mmu_lsu_imme_wakeup，tie 0；946-mmu_lsu_data_req_size, tie 1；941-lsu_idu_ex2_vload_fwd_inst_vld, tie 0；774-ldg_ldc_ex1_expt_page_fault，信号未使用；699-ldc_vload_ahead_inst_vld，tie 0；662-665-ld_dc_load_inst_vld_dup1-4，信号未使用；658-660-ld_dc_load_ahead_inst_vld_dup2-4，信号未使用","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.3.4","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"line","wk_lsu_ld_da | 1）wk_lsu_ld_da.sv - 3452","srcs/xx_lsu_ld_da.sv","wk_lsu_ld_da","1）wk_lsu_ld_da.sv - 3452","排除原因：对于向量指令，element_size = vmew","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.4.1","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"branch","wk_lsu_ld_da | case语句default分支。","srcs/xx_lsu_ld_da.sv","wk_lsu_ld_da","case语句default分支。","同1.4.1.","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.4.2","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_da | 1）line-4886，ld_da_cb_data_vld，不使用cachebuffer加速","srcs/xx_lsu_ld_da.sv","wk_lsu_ld_da","1）line-4886，ld_da_cb_data_vld，不使用cachebuffer加速","DOCX仅列示该排除项，未另述原因","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.4.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_da | 2）line-3876，ld_da_tcm_ecc_stall_gate，不支持tcm","srcs/xx_lsu_ld_da.sv","wk_lsu_ld_da","2）line-3876，ld_da_tcm_ecc_stall_gate，不支持tcm","2）line-3876，ld_da_tcm_ecc_stall_gate，不支持tcm","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.4.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_da | 3）line-2900，lda_merge_from_cb，排除同1","srcs/xx_lsu_ld_da.sv","wk_lsu_ld_da","3）line-2900，lda_merge_from_cb，排除同1","DOCX仅列示该排除项，未另述原因","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.4.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_da | 4）line-4896，排除同1","srcs/xx_lsu_ld_da.sv","wk_lsu_ld_da","4）line-4896，排除同1","DOCX仅列示该排除项，未另述原因","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.4.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_da | 5）line-5171，排除同1","srcs/xx_lsu_ld_da.sv","wk_lsu_ld_da","5）line-5171，排除同1","DOCX仅列示该排除项，未另述原因","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.4.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_da | 6）line-3859，ld_da_tcm_ecc_stall_ori，排除同2","srcs/xx_lsu_ld_da.sv","wk_lsu_ld_da","6）line-3859，ld_da_tcm_ecc_stall_ori，排除同2","DOCX仅列示该排除项，未另述原因","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.4.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_da | 7）line-3874，ld_da_tcm_ecc_stall，排除同2","srcs/xx_lsu_ld_da.sv","wk_lsu_ld_da","7）line-3874，ld_da_tcm_ecc_stall，排除同2","DOCX仅列示该排除项，未另述原因","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.4.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_da | 8）line-5244，lda_idu_ex3_fwd_vreg_vld，不支持vreg前递","srcs/xx_lsu_ld_da.sv","wk_lsu_ld_da","8）line-5244，lda_idu_ex3_fwd_vreg_vld，不支持vreg前递","8）line-5244，lda_idu_ex3_fwd_vreg_vld，不支持vreg前递","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.4.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_da | 9）line-3830，排除同2","srcs/xx_lsu_ld_da.sv","wk_lsu_ld_da","9）line-3830，排除同2","DOCX仅列示该排除项，未另述原因","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.4.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_da | 10）5162","srcs/xx_lsu_ld_da.sv","wk_lsu_ld_da","10）5162","排除原因：ldamo（amo指令拆分操作）请求不会出现字节有效位=0，或者不支持向量原子操作。","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.4.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_da | 11）line-3207，lda_merge_from_cb，排除同1","srcs/xx_lsu_ld_da.sv","wk_lsu_ld_da","11）line-3207，lda_merge_from_cb，排除同1","DOCX仅列示该排除项，未另述原因","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.4.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_da | 12）3214，lda_tcm_hit，排除同2","srcs/xx_lsu_ld_da.sv","wk_lsu_ld_da","12）3214，lda_tcm_hit，排除同2","DOCX仅列示该排除项，未另述原因","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.4.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_da | 13）line-5171，ld_da_merge_mask，排除同2","srcs/xx_lsu_ld_da.sv","wk_lsu_ld_da","13）line-5171，ld_da_merge_mask，排除同2","DOCX仅列示该排除项，未另述原因","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.4.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_da | 14）wk_lsu_ld_da.sv – 4770，排除子表达式lda_borrow_mmu和lda_ecc_stall_already单独为0的条件。","srcs/xx_lsu_ld_da.sv","wk_lsu_ld_da","14）wk_lsu_ld_da.sv – 4770，排除子表达式lda_borrow_mmu和lda_ecc_stall_already单独为0的条件。","排除原因：借用流水线请求当中，只有mmu会产生ecc停顿，查看4590和4093；lda_ecc_stall_already=0排除原因：lda_ecc_stall_already是lda_ecc_stall_fatal必要条件，只有寄存发生ecc错误时，才会寄存是否发生严重错误。","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.4.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_da | 15）line-2772，ld_da_lr_inst，同wk_lsu_ld_ag-1482","srcs/xx_lsu_ld_da.sv","wk_lsu_ld_da","15）line-2772，ld_da_lr_inst，同wk_lsu_ld_ag-1482","DOCX仅列示该排除项，未另述原因","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.4.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_da | 16）wk_lsu_ld_da.sv – 2708，排除子表达式ld_da_atomic单独为0的条件","srcs/xx_lsu_ld_da.sv","wk_lsu_ld_da","16）wk_lsu_ld_da.sv – 2708，排除子表达式ld_da_atomic单独为0的条件","排除原因：该条件满足前序分支，不会进入该分支。","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.4.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_da | 17）wk_lsu_ld_da.sv – 1997，排除子表达式~(rtu_ck_flush & rtu_ck_flush_iid_older_than_ex3_iid)为0的条件。","srcs/xx_lsu_ld_da.sv","wk_lsu_ld_da","17）wk_lsu_ld_da.sv – 1997，排除子表达式~(rtu_ck_flush & rtu_ck_flush_iid_older_than_ex3_iid)为0的条件。","排除原因：lda_ecc_stall=1排除了rtu_ck_flush & rtu_ck_flush_iid_older_than_ex3_iid=1的条件。","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.4.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_da | 18）3783，排除子表达式!ld_da_rb_full_req，!ld_da_hit_idx_discard_req，!ld_da_data_discard_sq_req单独为0的条件","srcs/xx_lsu_ld_da.sv","wk_lsu_ld_da","18）3783，排除子表达式!ld_da_rb_full_req，!ld_da_hit_idx_discard_req，!ld_da_data_discard_sq_req单独为0的条件","排除原因：ld_da_rb_full_req成立必要条件是ld_da_rb_create_vld_unmask，lda_ex3_us_discard成立使得ld_da_rb_create_vld_unmask不成立。其他条件类似，d_da_hit_idx_discard_req要求rb_create/merge成立（stall_ori要求非ld_da_restart_no_cache，后者前提是非lda_ex3_us_discard），而后者要求lda_ex3_us_discard=0。ld_da_data_discard_sq_req成立前提是非unite-stride类型请求。","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.4.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
